X,Y,Z,azimuth,dip,polarity,formation
1842258.37,5176471.28,222.16,90,0,1,argjauli
1842258.37,5176471.28,224.86,90,0,1,argmipli
1841460.64,5176543.23,219.75,90,0,1,argsilmi
1842578.10,5176448.82,195.49,90,0,1,argsilmi
1841788.53,5176513.77,206.87,90,2,1,argsilmi
1841460.64,5176543.23,230.25,90,355,1,morarcog
1842258.37,5176471.28,240.86,90,0,1,morarcog
1842258.37,5176471.28,258.56,90,0,1,remblais
1841951.25,5176503.33,240.90,90,0,1,remblais
1842578.10,5176448.82,243.19,90,0,1,remblais
1842345.05,5176465.27,192.37,90,0,1,sabmolmi
1841460.64,5176543.23,212.75,90,0,1,argjauli
1841095.82,5176568.77,168.60,90,315,1,argsilmi
1842672.61,5176438.06,205.56,90,5,1,argmipli
1842672.61,5176438.06,182.76,90,0,1,argcolmi
1842258.37,5176471.28,196.32,90,358,1,argsilmi
1842345.05,5176465.27,224.17,90,5,1,argmipli
1841315.89,5176541.61,233.80,90,350,1,remblais
1842672.61,5176438.06,194.06,90,1,1,argjauli
1842578.10,5176448.82,187.19,90,5,1,argcolmi
1841788.53,5176513.77,222.87,90,3,1,argmipli
1841788.53,5176513.77,236.92,90,358,1,morarcog
1841670.00,5176528.00,233.80,90,0,1,morarcog
1841315.89,5176541.61,213.31,90,0,1,morarcog
1841387.50,5176542.40,223.00,90,355,1,morarcog
1841387.50,5176542.40,230.00,90,355,1,remblais
1842834.70,5176422.09,177.39,90,2,1,sabmolmi
1841095.82,5176568.77,180.60,90,0,1,remblais
1842834.70,5176422.09,185.59,90,0,1,remblais
